State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,21/03/2006,2862,3030,2862,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,25/03/2006,2275,2971,2900,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,10/04/2006,3046,3321,3211,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,13/04/2006,3221,3411,3221,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,25/04/2006,3201,3201,3201,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,08/05/2006,2891,3100,3000,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,15/05/2006,2900,3075,3050,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,17/05/2006,3305,3305,3305,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,29/05/2006,2900,2951,2951,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,01/06/2006,2875,3252,3111,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,14/06/2006,2999,2999,2999,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,24/06/2006,3000,3000,3000,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,01/07/2006,2800,2800,2800,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,08/07/2006,2096,2501,2501,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,17/07/2006,2262,2262,2262,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,19/07/2006,2500,3011,3011,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,27/07/2006,2375,2771,2771,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,31/07/2006,2011,2951,2490,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,01/08/2006,2920,2920,2920,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,19/09/2006,3251,3251,3251,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,07/11/2006,3131,3200,3200,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,27/11/2006,3126,3451,3370,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,28/11/2006,3100,3351,3276,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,16/12/2006,3153,3211,3159,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,20/12/2006,2812,3303,3200,93
Maharashtra,Nashik,Malegaon,Mataki,Other,FAQ,28/12/2006,2890,3160,3100,93
Maharashtra,Nashik,Nandgaon,Mataki,Other,FAQ,02/12/2006,2500,3291,3280,93
Maharashtra,Nashik,Sinner,Mataki,Other,FAQ,04/01/2006,2300,2401,2375,93
Maharashtra,Nashik,Sinner,Mataki,Other,FAQ,05/02/2006,2300,2411,2400,93
Maharashtra,Nashik,Sinner,Mataki,Other,FAQ,06/02/2006,2367,2400,2375,93
